SURVEY:   LSST
SNID:             95  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.326172  # deg (avg among obs)
DEC:      2.238686  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0190 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.089 0.070 0.048 0.036 0.028 0.023  # MW mag-XT per band
PEAKMJD:  61396.211     # estimate for LC fit codes
MJD_TRIGGER:       61389.234  
MJD_DETECT_FIRST:  61388.242  
MJD_DETECT_LAST:   61436.266  

REDSHIFT_HELIO:   0.009701 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.010867 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           20975    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.326172     # deg  
SIM_DEC:             2.238686      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0190   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.072     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61397.965    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.100    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.64  # days 
SIM_TRESTMAX:        37.98  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.191 14.340 14.934 -9.000 -9.000  # 
SIM_EXPOSURE:   100.0  100.0  100.0  100.0  100.0  100.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 91 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61388.2423 LSST-g DDF  9.63957e+04  1.6413e+00 4096  1.000 38.890  2.28 5.306e+02  15.0396 
OBS: 61388.2499 LSST-i DDF  6.32171e+04  8.8726e-01 4096  1.000 39.810  2.26 1.937e+03  15.4949 
OBS: 61388.2596 LSST-r DDF  9.28588e+04  1.0199e+00 4096  1.000 39.890  2.20 1.299e+03  15.0770 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61389.2344
OBS: 61389.2352 LSST-g DDF  1.14724e+05  1.7971e+00 6144  1.000 38.880  2.01 5.226e+02  14.8478 
OBS: 61389.2480 LSST-i DDF  7.55468e+04  9.5336e-01 4096  1.000 39.860  2.78 1.984e+03  15.3071 
OBS: 61389.2567 LSST-r DDF  1.09474e+05  1.0835e+00 4096  1.000 39.940  2.66 1.310e+03  14.9044 
OBS: 61390.2434 LSST-g DDF  1.34820e+05  1.9127e+00 4096  1.000 38.920  2.23 5.329e+02  14.6805 
OBS: 61390.2510 LSST-i DDF  8.67242e+04  1.0302e+00 4096  1.000 39.820  2.43 1.912e+03  15.1593 
OBS: 61390.2607 LSST-r DDF  1.24439e+05  1.1733e+00 4096  1.000 39.900  2.21 1.289e+03  14.7574 
OBS: 61395.2676 LSST-g DDF  2.04053e+05  1.5079e+00 4096  1.000 39.890  2.33 1.373e+03  14.2290 
OBS: 61395.2752 LSST-i DDF  1.11560e+05  7.9852e-01 4096  1.000 40.630  2.01 2.877e+03  14.8805 
OBS: 61395.2849 LSST-r DDF  1.79970e+05  9.5803e-01 4096  1.000 40.740  2.15 2.246e+03  14.3625 
OBS: 61396.2120 LSST-g DDF  2.07210e+05  2.3205e+00 4096  1.000 39.010  2.84 1.903e+03  14.2077 
OBS: 61396.2196 LSST-i DDF  1.10594e+05  1.1740e+00 4096  1.000 39.810  2.06 2.836e+03  14.8903 
OBS: 61396.2293 LSST-r DDF  1.82234e+05  1.3941e+00 4096  1.000 39.950  1.82 2.784e+03  14.3422 
OBS: 61404.3109 LSST-r DDF  1.40641e+05  3.6512e+00 4096  1.000 37.570  1.71 6.710e+02  14.6294 
OBS: 61405.1982 LSST-g DDF  1.72222e+05  2.1180e+00 4096  1.000 38.970  3.19 6.730e+02  14.4139 
OBS: 61405.2173 LSST-i DDF  7.74010e+04  9.2888e-01 4096  1.000 39.930  2.33 2.191e+03  15.2711 
OBS: 61405.2195 LSST-r DDF  1.33144e+05  1.1685e+00 4096  1.000 39.990  2.50 1.643e+03  14.6957 
OBS: 61406.1970 LSST-g DDF  1.63026e+05  2.1137e+00 4096  1.000 38.910  2.74 5.173e+02  14.4773 
OBS: 61406.2118 LSST-i DDF  7.32540e+04  9.2206e-01 4096  1.000 39.880  2.30 1.966e+03  15.3390 
OBS: 61406.2144 LSST-r DDF  1.23597e+05  1.1641e+00 4096  1.000 39.910  2.15 1.346e+03  14.7700 
OBS: 61407.2071 LSST-i DDF  6.90807e+04  9.6279e-01 4096  1.000 39.820  4.30 1.857e+03  15.4016 
OBS: 61407.2169 LSST-r DDF  1.16544e+05  1.1417e+00 4096  1.000 39.900  3.29 1.250e+03  14.8441 
OBS: 61407.2645 LSST-g DDF  1.51750e+05  1.3060e+00 4096  1.000 39.890  4.71 8.778e+02  14.5529 
OBS: 61408.2378 LSST-i DDF  6.40888e+04  6.4337e-01 4096  1.000 40.570  3.36 2.648e+03  15.4863 
OBS: 61408.2475 LSST-r DDF  1.08936e+05  7.7954e-01 4096  1.000 40.660  3.45 1.809e+03  14.9136 
OBS: 61408.2955 LSST-g DDF  1.39971e+05  1.7470e+00 4096  1.000 39.160  2.98 5.848e+02  14.6388 
OBS: 61409.3069 LSST-r DDF  1.01897e+05  4.5815e+00 4096  1.000 36.730  2.70 2.725e+02  14.9780 
OBS: 61409.3174 LSST-g DDF  1.28578e+05  1.6721e+00 4096  1.000 39.160  2.17 5.604e+02  14.7349 
OBS: 61409.3229 LSST-i DDF  5.84246e+04  1.1440e+00 4096  1.000 39.150  1.84 1.225e+03  15.5848 
OBS: 61410.2036 LSST-r DDF  9.74805e+04  1.0459e+00 4096  1.000 39.890  2.48 1.270e+03  15.0293 
OBS: 61410.2807 LSST-i DDF  5.51326e+04  6.5386e-01 4096  1.000 40.310  1.97 2.185e+03  15.6494 
OBS: 61410.3154 LSST-g DDF  1.16621e+05  1.5920e+00 4096  1.000 39.160  1.91 5.423e+02  14.8278 
OBS: 61411.1977 LSST-r DDF  9.27550e+04  1.0184e+00 4096  1.000 39.890  2.07 1.278e+03  15.0829 
OBS: 61411.3118 LSST-i DDF  5.24315e+04  3.4211e+00 4096  1.000 36.650  1.62 3.842e+02  15.6959 
