FILENAME,MJD,BAND,FIELD_NO_S,FLUXCAL_NO_S,FLUXCALERR_NO_S,PHOTFLAG_NO_S,GAIN_NO_S,ZPT_NO_S,PSF_NO_S,SKY_SIG_NO_S,SIM_MAGOBS_NO_S,FIELD_PLUS_S,FLUXCAL_PLUS_S,FLUXCALERR_PLUS_S,PHOTFLAG_PLUS_S,GAIN_PLUS_S,ZPT_PLUS_S,PSF_PLUS_S,SKY_SIG_PLUS_S,SIM_MAGOBS_PLUS_S,_merge
SN000001,61794.0825,LSST-r,DDF,132717.0,52.011,4096,1.0,31.73,1.6,24.38,14.6835,DDF,139632.0,53.345,4096,1.0,31.73,1.6,24.38,14.6373,both
SN000001,61795.0967,LSST-g,DDF,168514.0,27.385,6144,1.0,33.38,1.59,33.26,14.4213,DDF,178434.0,28.179,6144,1.0,33.38,1.59,33.26,14.3738,both
SN000001,61795.1033,LSST-i,DDF,109874.0,15.482,4096,1.0,34.16,1.38,115.6,14.8982,DDF,108747.0,15.402,4096,1.0,34.16,1.38,115.6,14.9015,both
SN000001,61795.113,LSST-r,DDF,150376.0,17.502,4096,1.0,34.23,1.49,78.62,14.561,DDF,153448.0,17.68,4096,1.0,34.23,1.49,78.62,14.5309,both
SN000001,61800.1048,LSST-r,DDF,199165.0,64.314,4096,1.0,31.71,2.02,24.65,14.2556,DDF,195162.0,63.667,4096,1.0,31.71,2.02,24.65,14.2793,both
SN000001,61800.1287,LSST-g,DDF,219158.0,71.555,4096,1.0,31.58,2.03,14.85,14.1452,DDF,217200.0,71.235,4096,1.0,31.58,2.03,14.85,14.1549,both
SN000001,61802.0967,LSST-g,DDF,218760.0,31.493,4096,1.0,33.36,1.89,33.42,14.1539,DDF,214878.0,31.212,4096,1.0,33.36,1.89,33.42,14.1803,both
SN000001,61802.1033,LSST-i,DDF,111339.0,15.759,4096,1.0,34.14,1.73,116.6,14.8767,DDF,112688.0,15.853,4096,1.0,34.14,1.73,116.6,14.864,both
SN000001,61802.113,LSST-r,DDF,199301.0,20.444,4096,1.0,34.2,2.13,79.01,14.246,DDF,196907.0,20.321,4096,1.0,34.2,2.13,79.01,14.2752,both
SN000002,61813.1014,LSST-g,DDF,221077.0,28.745,4096,1.0,33.58,1.63,137.7,14.1463,DDF,200809.0,27.41,4096,1.0,33.58,1.63,137.7,14.2436,both
SN000002,61813.1101,LSST-i,DDF,125483.0,16.619,4096,1.0,34.17,1.9,178.4,14.7557,DDF,117011.0,16.062,4096,1.0,34.17,1.9,178.4,14.827,both
SN000002,61813.1198,LSST-r,DDF,197290.0,19.666,4096,1.0,34.29,2.08,191.1,14.2606,DDF,191184.0,19.365,4096,1.0,34.29,2.08,191.1,14.2982,both
SN000002,61814.0306,LSST-i,DDF,123272.0,51.402,6144,1.0,31.68,1.43,40.13,14.7686,DDF,114819.0,49.621,6144,1.0,31.68,1.43,40.13,14.843,both
SN000002,61817.0729,LSST-g,DDF,223884.0,32.008,4096,1.0,33.35,1.97,33.52,14.1254,DDF,200982.0,30.328,4096,1.0,33.35,1.97,33.52,14.2369,both
SN000002,61817.0816,LSST-i,DDF,113882.0,15.949,4096,1.0,34.14,1.85,117.9,14.8569,DDF,108781.0,15.592,4096,1.0,34.14,1.85,117.9,14.9082,both
SN000002,61817.0913,LSST-r,DDF,210891.0,21.022,4096,1.0,34.2,1.93,80.0,14.1892,DDF,205581.0,20.756,4096,1.0,34.2,1.93,80.0,14.2181,both
SN000002,61819.1058,LSST-i,DDF,107712.0,49.551,4096,1.0,31.62,1.88,38.22,14.9066,DDF,107625.0,49.531,4096,1.0,31.62,1.88,38.22,14.9167,both
SN000002,61822.187,LSST-g,DDF,194832.0,81.218,4096,1.0,31.18,2.92,14.28,14.2773,DDF,184909.0,79.13,4096,1.0,31.18,2.92,14.28,14.3329,both
SN000002,61823.0243,LSST-i,DDF,90011.1,44.228,4096,1.0,31.67,1.62,38.71,15.1093,DDF,97558.3,46.024,4096,1.0,31.67,1.62,38.71,15.0189,both
SN000003,61004.0621,LSST-i,DDF,123425.0,52.871,4096,1.0,31.63,2.22,38.2,14.7641,DDF,109294.0,49.804,4096,1.0,31.63,2.22,38.2,14.9095,both
SN000003,61009.1065,LSST-i,DDF,109807.0,34.524,4096,1.0,32.43,1.93,62.41,14.8997,DDF,107865.0,34.223,4096,1.0,32.43,1.93,62.41,14.9204,both
SN000004,61877.0408,LSST-g,DDF,222022.0,22.192,4096,1.0,34.14,3.56,54.16,14.1314,DDF,239564.0,23.049,4096,1.0,34.14,3.56,54.16,14.0463,both
SN000004,61877.0484,LSST-i,DDF,133486.0,12.322,4096,1.0,34.89,3.01,172.0,14.687,DDF,145480.0,12.85,4096,1.0,34.89,3.01,172.0,14.5907,both
SN000004,61877.0581,LSST-r,DDF,192598.0,14.06,4096,1.0,34.98,2.79,122.0,14.2961,DDF,202093.0,14.4,4096,1.0,34.98,2.79,122.0,14.2244,both
SN000004,61879.0405,LSST-g,DDF,246477.0,23.02,4096,1.0,34.17,1.74,54.96,14.0189,DDF,265913.0,23.91,4096,1.0,34.17,1.74,54.96,13.9416,both
SN000004,61879.0482,LSST-i,DDF,136821.0,12.242,4096,1.0,34.91,1.65,173.1,14.6633,DDF,140991.0,12.425,4096,1.0,34.91,1.65,173.1,14.6247,both
SN000004,61879.0579,LSST-r,DDF,212356.0,14.659,4096,1.0,34.99,1.72,123.0,14.1738,DDF,225084.0,15.091,4096,1.0,34.99,1.72,123.0,14.1182,both
SN000004,61883.0921,LSST-g,DDF,246402.0,23.695,4096,1.0,34.11,3.33,54.51,14.0141,DDF,261000.0,24.384,4096,1.0,34.11,3.33,54.51,13.9618,both
SN000004,61883.0997,LSST-i,DDF,122571.0,12.056,4096,1.0,34.87,3.78,177.5,14.784,DDF,118819.0,11.88,4096,1.0,34.87,3.78,177.5,14.8179,both
SN000004,61883.1094,LSST-r,DDF,231373.0,15.654,4096,1.0,34.95,3.59,124.9,14.0818,DDF,238635.0,15.895,4096,1.0,34.95,3.59,124.9,14.0551,both
SN000004,61884.0275,LSST-g,DDF,247223.0,23.165,4096,1.0,34.16,1.98,55.12,14.0213,DDF,258245.0,23.675,4096,1.0,34.16,1.98,55.12,13.977,both
SN000004,61884.0352,LSST-i,DDF,119309.0,11.506,4096,1.0,34.9,1.86,173.2,14.8092,DDF,115150.0,11.306,4096,1.0,34.9,1.86,173.2,14.8492,both
SN000004,61884.0449,LSST-r,DDF,232973.0,15.361,4096,1.0,34.99,2.07,123.2,14.0815,DDF,236400.0,15.473,4096,1.0,34.99,2.07,123.2,14.0611,both
SN000004,61885.0079,LSST-r,DDF,231001.0,67.968,4096,1.0,31.75,1.69,27.26,14.0858,DDF,236330.0,68.746,4096,1.0,31.75,1.69,27.26,14.0717,both
SN000004,61887.0146,LSST-g,DDF,236118.0,22.64,4096,1.0,34.16,2.03,54.87,14.0649,DDF,240304.0,22.839,4096,1.0,34.16,2.03,54.87,14.049,both
SN000004,61887.0222,LSST-i,DDF,111583.0,11.14,4096,1.0,34.9,1.98,172.1,14.8693,DDF,109305.0,11.027,4096,1.0,34.9,1.98,172.1,14.9068,both
SN000004,61887.032,LSST-r,DDF,226346.0,15.14,4096,1.0,34.99,2.03,122.6,14.1165,DDF,226908.0,15.159,4096,1.0,34.99,2.03,122.6,14.1143,both
SN000004,61889.9842,LSST-g,DDF,219757.0,21.454,4096,1.0,34.2,2.28,63.06,14.1428,DDF,217201.0,21.329,4096,1.0,34.2,2.28,63.06,14.1536,both
SN000004,61889.9918,LSST-i,DDF,99676.9,10.536,4096,1.0,34.9,1.91,176.2,15.0025,DDF,96739.7,10.382,4096,1.0,34.9,1.91,176.2,15.0236,both
SN000006,61743.1932,LSST-i,DDF,115708.0,11.195,4096,1.0,34.92,1.46,157.9,14.8431,DDF,106356.0,10.736,4096,1.0,34.92,1.46,157.9,14.9399,both
SN000006,61743.2123,LSST-r,DDF,159388.0,12.639,4096,1.0,35.0,1.53,109.6,14.4884,DDF,147892.0,12.176,4096,1.0,35.0,1.53,109.6,14.5809,both
SN000006,61752.2084,LSST-i,DDF,119942.0,50.647,4096,1.0,31.71,1.67,73.96,14.7995,DDF,114337.0,49.488,4096,1.0,31.71,1.67,73.96,14.847,both
SN000006,61754.0755,LSST-g,DDF,248623.0,20.738,4096,1.0,34.41,1.76,131.1,14.0183,DDF,233088.0,20.083,4096,1.0,34.41,1.76,131.1,14.0872,both
SN000006,61754.1208,LSST-i,DDF,113167.0,10.804,4096,1.0,34.98,1.37,243.2,14.8623,DDF,109045.0,10.608,4096,1.0,34.98,1.37,243.2,14.9022,both
SN000006,61754.143,LSST-r,DDF,221895.0,14.085,4096,1.0,35.13,1.5,262.2,14.1338,DDF,221109.0,14.06,4096,1.0,35.13,1.5,262.2,14.1446,both
SN000006,61756.1897,LSST-r,DDF,204197.0,61.689,4096,1.0,31.83,1.56,44.31,14.2166,DDF,204390.0,61.718,4096,1.0,31.83,1.56,44.31,14.2181,both
SN000006,61756.2138,LSST-i,DDF,102586.0,47.044,4096,1.0,31.68,1.52,47.77,14.9807,DDF,98800.3,46.18,4096,1.0,31.68,1.52,47.77,15.0112,both
SN000007,61699.1395,LSST-g,DDF,133530.0,16.708,4096,1.0,34.2,1.13,48.05,14.6909,DDF,138400.0,17.009,4096,1.0,34.2,1.13,48.05,14.6516,both
SN000007,61699.1471,LSST-i,DDF,95598.2,10.134,4096,1.0,34.93,1.43,157.9,15.0475,DDF,96657.3,10.189,4096,1.0,34.93,1.43,157.9,15.036,both
SN000007,61699.1569,LSST-r,DDF,125252.0,11.207,4096,1.0,35.0,1.52,108.8,14.7654,DDF,133822.0,11.583,4096,1.0,35.0,1.52,108.8,14.6841,both
SN000007,61705.1812,LSST-r,DDF,166366.0,57.943,6144,1.0,31.74,1.54,24.44,14.4433,DDF,163683.0,57.475,6144,1.0,31.74,1.54,24.44,14.4571,both
SN000007,61708.1152,LSST-g,DDF,159000.0,18.666,4096,1.0,34.15,2.08,47.03,14.4981,DDF,152468.0,18.279,4096,1.0,34.15,2.08,47.03,14.5423,both
SN000007,61708.1229,LSST-i,DDF,90119.2,9.9049,4096,1.0,34.92,1.75,156.8,15.1057,DDF,86425.8,9.7021,4096,1.0,34.92,1.75,156.8,15.1595,both
SN000007,61708.1326,LSST-r,DDF,157634.0,12.572,4096,1.0,35.0,1.69,108.1,14.51,DDF,159964.0,12.664,4096,1.0,35.0,1.69,108.1,14.4877,both
SN000008,61762.2976,LSST-r,DDF,234442.0,68.798,4096,1.0,31.74,1.67,29.27,14.0661,DDF,244025.0,70.187,4096,1.0,31.74,1.67,29.27,14.0307,both
