SURVEY:   LSST
SNID:             95  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.326172  # deg (avg among obs)
DEC:      2.238686  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0190 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.089 0.070 0.048 0.036 0.028 0.023  # MW mag-XT per band
PEAKMJD:  61396.211     # estimate for LC fit codes
MJD_TRIGGER:       61389.234  
MJD_DETECT_FIRST:  61388.242  
MJD_DETECT_LAST:   61436.266  

REDSHIFT_HELIO:   0.008462 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009627 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           20975    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.326172     # deg  
SIM_DEC:             2.238686      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0190   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.072     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61397.965    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.100    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.64  # days 
SIM_TRESTMAX:        37.98  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.034 14.152 14.792 -9.000 -9.000  # 
SIM_EXPOSURE:   100.0  100.0  100.0  100.0  100.0  100.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 91 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61388.2423 LSST-g DDF  1.11357e+05  1.7634e+00 4096  1.000 38.890  2.28 5.306e+02  14.8905 
OBS: 61388.2499 LSST-i DDF  7.47121e+04  9.6134e-01 4096  1.000 39.810  2.26 1.937e+03  15.3198 
OBS: 61388.2596 LSST-r DDF  9.99529e+04  1.0577e+00 4096  1.000 39.890  2.20 1.299e+03  15.0066 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61389.2344
OBS: 61389.2352 LSST-g DDF  1.32598e+05  1.9315e+00 6144  1.000 38.880  2.01 5.226e+02  14.6958 
OBS: 61389.2480 LSST-i DDF  8.79768e+04  1.0248e+00 4096  1.000 39.860  2.78 1.984e+03  15.1356 
OBS: 61389.2567 LSST-r DDF  1.18429e+05  1.1263e+00 4096  1.000 39.940  2.66 1.310e+03  14.8256 
OBS: 61390.2434 LSST-g DDF  1.54801e+05  2.0491e+00 4096  1.000 38.920  2.23 5.329e+02  14.5256 
OBS: 61390.2510 LSST-i DDF  1.00965e+05  1.1088e+00 4096  1.000 39.820  2.43 1.912e+03  14.9918 
OBS: 61390.2607 LSST-r DDF  1.34841e+05  1.2210e+00 4096  1.000 39.900  2.21 1.289e+03  14.6698 
OBS: 61395.2676 LSST-g DDF  2.36142e+05  1.6214e+00 4096  1.000 39.890  2.33 1.373e+03  14.0675 
OBS: 61395.2752 LSST-i DDF  1.27736e+05  8.5333e-01 4096  1.000 40.630  2.01 2.877e+03  14.7310 
OBS: 61395.2849 LSST-r DDF  2.05904e+05  1.0242e+00 4096  1.000 40.740  2.15 2.246e+03  14.2191 
OBS: 61396.2120 LSST-g DDF  2.40923e+05  2.4947e+00 4096  1.000 39.010  2.84 1.903e+03  14.0470 
OBS: 61396.2196 LSST-i DDF  1.26600e+05  1.2526e+00 4096  1.000 39.810  2.06 2.836e+03  14.7437 
OBS: 61396.2293 LSST-r DDF  2.11300e+05  1.4993e+00 4096  1.000 39.950  1.82 2.784e+03  14.1847 
OBS: 61404.3109 LSST-r DDF  1.88031e+05  4.2160e+00 4096  1.000 37.570  1.71 6.710e+02  14.3110 
OBS: 61405.1982 LSST-g DDF  1.92770e+05  2.2397e+00 4096  1.000 38.970  3.19 6.730e+02  14.2844 
OBS: 61405.2173 LSST-i DDF  8.96921e+04  9.9696e-01 4096  1.000 39.930  2.33 2.191e+03  15.1208 
OBS: 61405.2195 LSST-r DDF  1.80300e+05  1.3569e+00 4096  1.000 39.990  2.50 1.643e+03  14.3627 
OBS: 61406.1970 LSST-g DDF  1.83192e+05  2.2401e+00 4096  1.000 38.910  2.74 5.173e+02  14.3476 
OBS: 61406.2118 LSST-i DDF  8.49770e+04  9.9052e-01 4096  1.000 39.880  2.30 1.966e+03  15.1814 
OBS: 61406.2144 LSST-r DDF  1.69141e+05  1.3602e+00 4096  1.000 39.910  2.15 1.346e+03  14.4242 
OBS: 61407.2071 LSST-i DDF  8.08266e+04  1.0323e+00 4096  1.000 39.820  4.30 1.857e+03  15.2345 
OBS: 61407.2169 LSST-r DDF  1.59937e+05  1.3339e+00 4096  1.000 39.900  3.29 1.250e+03  14.4894 
OBS: 61407.2645 LSST-g DDF  1.70556e+05  1.3834e+00 4096  1.000 39.890  4.71 8.778e+02  14.4208 
OBS: 61408.2378 LSST-i DDF  7.53084e+04  6.9303e-01 4096  1.000 40.570  3.36 2.648e+03  15.3066 
OBS: 61408.2475 LSST-r DDF  1.50692e+05  9.1380e-01 4096  1.000 40.660  3.45 1.809e+03  14.5544 
OBS: 61408.2955 LSST-g DDF  1.57353e+05  1.8517e+00 4096  1.000 39.160  2.98 5.848e+02  14.5016 
OBS: 61409.3069 LSST-r DDF  1.41933e+05  5.3969e+00 4096  1.000 36.730  2.70 2.725e+02  14.6195 
