SURVEY:   LSST
SNID:             901  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.205078  # deg (avg among obs)
DEC:      2.985506  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0158 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.074 0.058 0.040 0.030 0.024 0.019  # MW mag-XT per band
PEAKMJD:  61028.230     # estimate for LC fit codes
MJD_TRIGGER:       61023.242  
MJD_DETECT_FIRST:  61022.234  
MJD_DETECT_LAST:   61063.293  

REDSHIFT_HELIO:   0.009417 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.010587 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           185650    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.205078     # deg  
SIM_DEC:             2.985506      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0158   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.889     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61026.691    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.069    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -4.42  # days 
SIM_TRESTMAX:        36.28  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 15.055 14.821 15.273 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 75 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61022.2353 LSST-g DDF  8.61294e+04  1.5608e+01 4096  1.000 33.880  2.27 6.251e+01  15.1685 
OBS: 61022.2429 LSST-i DDF  8.10420e+04  1.0159e+01 4096  1.000 34.790  2.44 2.103e+02  15.2288 
OBS: 61022.2527 LSST-r DDF  1.01208e+05  1.0674e+01 4096  1.000 34.890  2.30 1.546e+02  14.9917 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61023.2422
OBS: 61023.2438 LSST-g DDF  8.97561e+04  1.5644e+01 6144  1.000 33.920  2.70 5.532e+01  15.1157 
OBS: 61023.2514 LSST-i DDF  8.23744e+04  1.0021e+01 4096  1.000 34.820  2.15 1.985e+02  15.2123 
OBS: 61023.2611 LSST-r DDF  1.07118e+05  1.0855e+01 4096  1.000 34.910  2.25 1.391e+02  14.9253 
OBS: 61024.2324 LSST-g DDF  9.28523e+04  1.6330e+01 4096  1.000 33.860  2.17 5.248e+01  15.0848 
OBS: 61024.2401 LSST-i DDF  8.19293e+04  1.0111e+01 4096  1.000 34.790  1.99 1.959e+02  15.2139 
OBS: 61024.2529 LSST-r DDF  1.11508e+05  1.0960e+01 4096  1.000 34.930  2.16 1.337e+02  14.8776 
OBS: 61025.2427 LSST-i DDF  8.02596e+04  1.0024e+01 4096  1.000 34.800  2.42 1.934e+02  15.2320 
OBS: 61025.2524 LSST-r DDF  1.16077e+05  1.1468e+01 4096  1.000 34.880  2.67 1.291e+02  14.8458 
OBS: 61025.2773 LSST-g DDF  9.38935e+04  1.0797e+01 4096  1.000 34.770  2.13 7.840e+01  15.0647 
OBS: 61027.2584 LSST-i DDF  7.68076e+04  6.7684e+00 4096  1.000 35.590  2.00 2.665e+02  15.2899 
OBS: 61027.2681 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 35.680  2.00 1.811e+02  14.8208 
OBS: 61027.2711 LSST-g DDF  9.49949e+04  1.5057e+01 4096  1.000 34.060  2.08 5.478e+01  15.0584 
OBS: 61028.2141 LSST-g DDF  9.44282e+04  1.7196e+01 4096  1.000 33.770  2.87 5.066e+01  15.0693 
OBS: 61028.2282 LSST-i DDF  7.46676e+04  9.6206e+00 4096  1.000 34.820  2.41 2.086e+02  15.3189 
OBS: 61028.2314 LSST-r DDF  1.17762e+05  1.1759e+01 4096  1.000 34.840  2.53 1.297e+02  14.8252 
OBS: 61029.2361 LSST-g DDF  9.23861e+04  1.5637e+01 4096  1.000 33.950  2.48 5.344e+01  15.0913 
OBS: 61029.2488 LSST-i DDF  7.29876e+04  9.1340e+00 4096  1.000 34.890  2.12 1.961e+02  15.3482 
OBS: 61029.2574 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 34.970  2.01 1.316e+02  14.8406 
OBS: 61030.2377 LSST-g DDF  8.88466e+04  1.5272e+01 4096  1.000 33.960  2.63 5.338e+01  15.1216 
OBS: 61030.2453 LSST-i DDF  7.06134e+04  9.2589e+00 4096  1.000 34.830  2.27 1.884e+02  15.3844 
OBS: 61030.2550 LSST-r DDF  1.12968e+05  1.1083e+01 4096  1.000 34.920  2.27 1.277e+02  14.8654 
OBS: 61031.2370 LSST-g DDF  8.66719e+04  1.4925e+01 4096  1.000 33.980  2.05 5.381e+01  15.1587 
OBS: 61031.2446 LSST-i DDF  6.62826e+04  8.9244e+00 4096  1.000 34.840  2.18 1.881e+02  15.4357 
OBS: 61031.2543 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 34.930  1.95 1.278e+02  14.8985 
OBS: 61032.1991 LSST-g DDF  8.26521e+04  1.6443e+01 4096  1.000 33.740  4.52 5.014e+01  15.2008 
OBS: 61032.2067 LSST-i DDF  6.30628e+04  9.5173e+00 4096  1.000 34.750  3.78 1.983e+02  15.4934 
OBS: 61032.2206 LSST-r DDF  1.05572e+05  1.0852e+01 4096  1.000 34.900  2.75 1.329e+02  14.9400 
OBS: 61033.1942 LSST-g DDF  7.96913e+04  1.6008e+01 4096  1.000 33.740  2.46 4.968e+01  15.2518 
OBS: 61033.2018 LSST-i DDF  5.96380e+04  9.0103e+00 4096  1.000 34.750  2.78 1.992e+02  15.5572 
OBS: 61033.2115 LSST-r DDF  1.00491e+05  1.0909e+01 4096  1.000 34.830  2.26 1.302e+02  14.9920 
OBS: 61034.3302 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 31.740  1.83 2.762e+01  15.0581 
OBS: 61038.1967 LSST-g DDF  5.81237e+04  1.2496e+01 4096  1.000 33.960  2.87 8.147e+01  15.5991 
OBS: 61038.2043 LSST-i DDF  4.46792e+04  7.6468e+00 4096  1.000 34.800  2.39 2.141e+02  15.8799 
OBS: 61038.2140 LSST-r DDF  7.54921e+04  9.2015e+00 4096  1.000 34.900  2.39 1.480e+02  15.3026 
OBS: 61040.1787 LSST-g DDF  5.02245e+04  1.2043e+01 4096  1.000 33.930  2.23 1.529e+02  15.7540 
OBS: 61040.1863 LSST-i DDF  4.14993e+04  7.4446e+00 4096  1.000 34.780  1.92 2.573e+02  15.9470 
OBS: 61040.1960 LSST-r DDF  6.78654e+04  8.7497e+00 4096  1.000 34.910  1.86 2.347e+02  15.4236 
OBS: 61041.3267 LSST-g DDF  4.60524e+04  9.9670e+00 4096  1.000 34.170  1.57 5.475e+01  15.8445 
OBS: 61042.2004 LSST-i DDF  4.10685e+04  7.4201e+00 4096  1.000 34.900  2.55 3.195e+02  15.9706 
OBS: 61042.2062 LSST-r DDF  6.21625e+04  8.4508e+00 4096  1.000 34.980  2.43 3.243e+02  15.5156 
OBS: 61049.3168 LSST-g DDF  2.33938e+04  6.8774e+00 4096  1.000 34.340  2.14 1.494e+02  16.5718 
OBS: 61049.3246 LSST-i DDF  4.66081e+04  7.0146e+00 4096  1.000 34.990  1.66 2.478e+02  15.8295 
OBS: 61050.1736 LSST-r DDF  5.37090e+04  5.6164e+00 4096  1.000 35.610  2.19 2.168e+02  15.6648 
OBS: 61050.1789 LSST-g DDF  2.19998e+04  7.5297e+00 4096  1.000 34.030  2.60 7.614e+01  16.6501 
OBS: 61050.1865 LSST-i DDF  4.65431e+04  7.5419e+00 4096  1.000 34.840  1.94 2.154e+02  15.8236 
OBS: 61051.1811 LSST-g DDF  2.02598e+04  7.2686e+00 4096  1.000 33.980  2.06 5.341e+01  16.7300 
OBS: 61051.1887 LSST-i DDF  4.66151e+04  7.5037e+00 4096  1.000 34.840  1.90 1.939e+02  15.8242 
OBS: 61051.1984 LSST-r DDF  5.27915e+04  7.5006e+00 4096  1.000 34.950  1.87 1.426e+02  15.6962 
OBS: 61052.1966 LSST-g DDF  1.88922e+04  6.9251e+00 4096  1.000 34.030  2.85 5.426e+01  16.8092 
OBS: 61052.2042 LSST-i DDF  4.64363e+04  7.5137e+00 4096  1.000 34.860  2.53 1.867e+02  15.8311 
OBS: 61052.2140 LSST-r DDF  5.08442e+04  7.4146e+00 4096  1.000 34.950  2.66 1.335e+02  15.7319 
OBS: 61053.2523 LSST-g DDF  1.74774e+04  6.1485e+00 4096  1.000 34.180  1.72 6.017e+01  16.8887 
OBS: 61053.2599 LSST-i DDF  4.62479e+04  7.2088e+00 4096  1.000 34.900  1.62 1.781e+02  15.8432 
OBS: 61053.2696 LSST-r DDF  4.92254e+04  7.0185e+00 4096  1.000 35.010  1.51 1.312e+02  15.7736 
OBS: 61054.2748 LSST-g DDF  1.63451e+04  6.0257e+00 4096  1.000 34.160  2.14 5.695e+01  16.9633 
OBS: 61054.2824 LSST-i DDF  4.50750e+04  7.1696e+00 4096  1.000 34.900  2.08 1.740e+02  15.8618 
OBS: 61054.2921 LSST-r DDF  4.68006e+04  6.8856e+00 4096  1.000 35.000  1.75 1.260e+02  15.8203 
OBS: 61056.1564 LSST-i DDF  4.36657e+04  7.3776e+00 4096  1.000 34.800  1.69 1.929e+02  15.9133 
OBS: 61056.1584 LSST-g DDF  1.46419e+04  6.1602e+00 4096  1.000 33.990  1.87 5.418e+01  17.0914 
OBS: 61056.1714 LSST-r DDF  4.31579e+04  6.8035e+00 4096  1.000 34.940  1.68 1.307e+02  15.9199 
OBS: 61057.2992 LSST-g DDF  1.36341e+04  5.4897e+00 4096  1.000 34.160  1.83 5.423e+01  17.1612 
OBS: 61057.3068 LSST-i DDF  4.18113e+04  6.8673e+00 4096  1.000 34.900  1.71 1.725e+02  15.9541 
OBS: 61057.3166 LSST-r DDF  4.03462e+04  6.4268e+00 4096  1.000 34.990  1.75 1.221e+02  15.9862 
OBS: 61059.2910 LSST-g DDF  1.24400e+04  5.2934e+00 4096  1.000 34.150  2.14 5.402e+01  17.2653 
OBS: 61059.2987 LSST-i DDF  3.81214e+04  6.5878e+00 4096  1.000 34.900  1.89 1.721e+02  16.0517 
OBS: 61059.3084 LSST-r DDF  3.58890e+04  6.0740e+00 4096  1.000 34.990  1.88 1.219e+02  16.1113 
OBS: 61062.1488 LSST-g DDF  1.09789e+04  5.4918e+00 4096  1.000 33.950  2.31 5.258e+01  17.3932 
OBS: 61062.1634 LSST-i DDF  3.22368e+04  6.1783e+00 4096  1.000 34.890  2.10 1.918e+02  16.2249 
OBS: 61062.1715 LSST-r DDF  3.02307e+04  5.6764e+00 4096  1.000 34.970  2.27 1.293e+02  16.2948 
OBS: 61063.2752 LSST-g DDF  1.04609e+04  4.8248e+00 4096  1.000 34.160  1.86 5.432e+01  17.4463 
OBS: 61063.2828 LSST-i DDF  3.05551e+04  5.8576e+00 4096  1.000 34.910  1.59 1.725e+02  16.2996 
OBS: 61063.2925 LSST-r DDF  2.85611e+04  5.3853e+00 4096  1.000 35.000  1.53 1.224e+02  16.3537 
END_PHOTOMETRY: 

