SURVEY:   LSST
SNID:             731  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.292969  # deg (avg among obs)
DEC:      1.119129  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0171 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.080 0.063 0.044 0.032 0.025 0.021  # MW mag-XT per band
PEAKMJD:  61038.195     # estimate for LC fit codes
MJD_TRIGGER:       61028.215  
MJD_DETECT_FIRST:  61027.258  
MJD_DETECT_LAST:   61070.117  

REDSHIFT_HELIO:   0.008372 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009547 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           152339    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00882 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00882    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1725   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.292969     # deg  
SIM_DEC:             1.119129      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0171   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.183     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61036.824    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.219    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.48  # days 
SIM_TRESTMAX:        33.00  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.374 14.421 14.950 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 73 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61027.2584 LSST-i DDF  5.41358e+04  5.7135e+00 4096  1.000 35.590  2.00 2.665e+02  15.6717 
OBS: 61027.2681 LSST-r DDF  6.88982e+04  6.1075e+00 4096  1.000 35.680  2.00 1.811e+02  15.4095 
OBS: 61027.2711 LSST-g DDF  6.66429e+04  1.2622e+01 4096  1.000 34.060  2.08 5.478e+01  15.4421 
OBS: 61028.2141 LSST-g DDF  8.09984e+04  1.5938e+01 6144  1.000 33.770  2.87 5.066e+01  15.2253 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61028.2148
OBS: 61028.2217 LSST-i DDF  6.51663e+04  9.2693e+00 4096  1.000 34.760  2.47 1.971e+02  15.4658 
OBS: 61028.2314 LSST-r DDF  8.24390e+04  9.8664e+00 4096  1.000 34.840  2.53 1.297e+02  15.2138 
OBS: 61029.2361 LSST-g DDF  9.82076e+04  1.6120e+01 4096  1.000 33.950  2.48 5.344e+01  15.0192 
OBS: 61029.2475 LSST-i DDF  7.66664e+04  9.3512e+00 4096  1.000 34.890  2.12 1.941e+02  15.2884 
OBS: 61029.2534 LSST-r DDF  9.72510e+04  1.0280e+01 4096  1.000 34.920  2.04 1.285e+02  15.0335 
OBS: 61030.2377 LSST-g DDF  1.15920e+05  1.7430e+01 4096  1.000 33.960  2.63 5.338e+01  14.8434 
OBS: 61030.2453 LSST-i DDF  8.72539e+04  1.0256e+01 4096  1.000 34.830  2.27 1.884e+02  15.1511 
OBS: 61030.2550 LSST-r DDF  1.11029e+05  1.0988e+01 4096  1.000 34.920  2.27 1.277e+02  14.8826 
OBS: 61031.2370 LSST-g DDF  1.33156e+05  1.8485e+01 4096  1.000 33.980  2.05 5.381e+01  14.6904 
OBS: 61031.2498 LSST-i DDF  9.55290e+04  1.0366e+01 4096  1.000 34.900  2.16 1.960e+02  15.0452 
OBS: 61031.2585 LSST-r DDF  1.25418e+05  1.1340e+01 4096  1.000 34.980  1.95 1.309e+02  14.7559 
OBS: 61032.1991 LSST-g DDF  1.48257e+05  2.1903e+01 4096  1.000 33.740  4.52 5.014e+01  14.5734 
OBS: 61032.2067 LSST-i DDF  1.01720e+05  1.1800e+01 4096  1.000 34.750  3.78 1.983e+02  14.9757 
OBS: 61032.2164 LSST-r DDF  1.37425e+05  1.2706e+01 4096  1.000 34.840  2.77 1.300e+02  14.6554 
OBS: 61033.1942 LSST-g DDF  1.59120e+05  2.2578e+01 4096  1.000 33.740  2.46 4.968e+01  14.4899 
OBS: 61033.2018 LSST-i DDF  1.05817e+05  1.1803e+01 4096  1.000 34.750  2.78 1.992e+02  14.9332 
OBS: 61033.2115 LSST-r DDF  1.48481e+05  1.3234e+01 4096  1.000 34.830  2.26 1.302e+02  14.5698 
OBS: 61034.3298 LSST-r DDF  1.58068e+05  5.6249e+01 4096  1.000 31.750  1.62 2.762e+01  14.4979 
OBS: 61038.1967 LSST-g DDF  1.75111e+05  2.1472e+01 4096  1.000 33.960  2.87 8.147e+01  14.3888 
OBS: 61038.2043 LSST-i DDF  1.00746e+05  1.1220e+01 4096  1.000 34.800  2.39 2.141e+02  14.9952 
OBS: 61038.2140 LSST-r DDF  1.69447e+05  1.3700e+01 4096  1.000 34.900  2.39 1.480e+02  14.4238 
OBS: 61040.1787 LSST-g DDF  1.65202e+05  2.1286e+01 4096  1.000 33.930  2.23 1.529e+02  14.4571 
OBS: 61040.1863 LSST-i DDF  9.34190e+04  1.0909e+01 4096  1.000 34.780  1.92 2.573e+02  15.0767 
OBS: 61040.1960 LSST-r DDF  1.62794e+05  1.3405e+01 4096  1.000 34.910  1.86 2.347e+02  14.4708 
OBS: 61041.3267 LSST-g DDF  1.55402e+05  1.8281e+01 4096  1.000 34.170  1.57 5.475e+01  14.5160 
OBS: 61042.2004 LSST-i DDF  8.20081e+04  9.9969e+00 4096  1.000 34.900  2.55 3.193e+02  15.2128 
OBS: 61042.2062 LSST-r DDF  1.50167e+05  1.2691e+01 4096  1.000 34.980  2.43 3.243e+02  14.5603 
OBS: 61049.3168 LSST-g DDF  8.39860e+04  1.2593e+01 4096  1.000 34.340  2.14 1.494e+02  15.1839 
OBS: 61049.3247 LSST-i DDF  5.54713e+04  7.6255e+00 4096  1.000 34.990  1.66 2.477e+02  15.6319 
OBS: 61050.1736 LSST-r DDF  9.65829e+04  7.4826e+00 4096  1.000 35.610  2.19 2.168e+02  15.0424 
OBS: 61050.1789 LSST-g DDF  7.81782e+04  1.3927e+01 4096  1.000 34.030  2.60 7.614e+01  15.2653 
OBS: 61050.1865 LSST-i DDF  5.63035e+04  8.2577e+00 4096  1.000 34.840  1.94 2.154e+02  15.6318 
OBS: 61051.1811 LSST-g DDF  7.21044e+04  1.3619e+01 4096  1.000 33.980  2.06 5.341e+01  15.3610 
OBS: 61051.1951 LSST-i DDF  5.67314e+04  8.0194e+00 4096  1.000 34.900  1.88 1.986e+02  15.6180 
OBS: 61051.2038 LSST-r DDF  9.30047e+04  9.6475e+00 4096  1.000 35.010  1.86 1.470e+02  15.0882 
OBS: 61052.1966 LSST-g DDF  6.50491e+04  1.2678e+01 4096  1.000 34.030  2.85 5.426e+01  15.4651 
OBS: 61052.2042 LSST-i DDF  5.71961e+04  8.2884e+00 4096  1.000 34.860  2.53 1.867e+02  15.6040 
OBS: 61052.2140 LSST-r DDF  9.02993e+04  9.8128e+00 4096  1.000 34.950  2.66 1.335e+02  15.1191 
OBS: 61053.2523 LSST-g DDF  5.92122e+04  1.1253e+01 4096  1.000 34.180  1.72 6.017e+01  15.5758 
OBS: 61053.2599 LSST-i DDF  5.83573e+04  8.0774e+00 4096  1.000 34.900  1.62 1.781e+02  15.5814 
OBS: 61053.2696 LSST-r DDF  8.83062e+04  9.3798e+00 4096  1.000 35.010  1.51 1.312e+02  15.1414 
OBS: 61054.2748 LSST-g DDF  5.32876e+04  1.0788e+01 4096  1.000 34.160  2.14 5.695e+01  15.6830 
OBS: 61054.2824 LSST-i DDF  6.00912e+04  8.2382e+00 4096  1.000 34.900  2.08 1.740e+02  15.5499 
OBS: 61054.2921 LSST-r DDF  8.64107e+04  9.3285e+00 4096  1.000 35.000  1.75 1.260e+02  15.1599 
OBS: 61056.1564 LSST-i DDF  6.35386e+04  8.8499e+00 4096  1.000 34.800  1.69 1.929e+02  15.4975 
OBS: 61056.1584 LSST-g DDF  4.44212e+04  1.0651e+01 4096  1.000 33.990  1.87 5.418e+01  15.8788 
OBS: 61056.1714 LSST-r DDF  8.36240e+04  9.4368e+00 4096  1.000 34.940  1.68 1.307e+02  15.1971 
OBS: 61057.2992 LSST-g DDF  3.96527e+04  9.3025e+00 4096  1.000 34.160  1.83 5.423e+01  15.9995 
OBS: 61057.3068 LSST-i DDF  6.46175e+04  8.4950e+00 4096  1.000 34.900  1.71 1.725e+02  15.4753 
OBS: 61057.3166 LSST-r DDF  8.10519e+04  9.0767e+00 4096  1.000 34.990  1.75 1.221e+02  15.2281 
OBS: 61059.2910 LSST-g DDF  3.27838e+04  8.5163e+00 4096  1.000 34.150  2.14 5.402e+01  16.2097 
OBS: 61059.2987 LSST-i DDF  6.43112e+04  8.4921e+00 4096  1.000 34.900  1.89 1.721e+02  15.4844 
OBS: 61059.3084 LSST-r DDF  7.49020e+04  8.7331e+00 4096  1.000 34.990  1.88 1.219e+02  15.3121 
OBS: 61062.2776 LSST-r DDF  6.17514e+04  3.5508e+01 4096  1.000 31.740  2.14 2.721e+01  15.5117 
OBS: 61062.3016 LSST-i DDF  5.66115e+04  3.5604e+01 4096  1.000 31.650  1.80 3.866e+01  15.6216 
OBS: 61063.2752 LSST-g DDF  2.40349e+04  7.2597e+00 4096  1.000 34.160  1.86 5.432e+01  16.5464 
OBS: 61063.2828 LSST-i DDF  5.30990e+04  7.6684e+00 4096  1.000 34.910  1.59 1.725e+02  15.6817 
OBS: 61063.2925 LSST-r DDF  5.77009e+04  7.6251e+00 4096  1.000 35.000  1.53 1.224e+02  15.5903 
OBS: 61065.2685 LSST-g DDF  2.11794e+04  6.4728e+00 4096  1.000 34.270  1.61 5.725e+01  16.6832 
