SURVEY:   LSST
SNID:             516  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.062500  # deg (avg among obs)
DEC:      2.761412  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0220 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.103 0.081 0.056 0.042 0.033 0.027  # MW mag-XT per band
PEAKMJD:  61000.320     # estimate for LC fit codes
MJD_TRIGGER:       61001.305  
MJD_DETECT_FIRST:  61000.320  
MJD_DETECT_LAST:   61034.332  

REDSHIFT_HELIO:   0.008887 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.010048 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           108350    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00884 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00884    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.062500     # deg  
SIM_DEC:             2.761412      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0220   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.020     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         60997.273    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.553    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        3.02  # days 
SIM_TRESTMAX:        36.73  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.171 14.283 14.812 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 61 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61000.3200 LSST-g DDF  2.01972e+05  2.2902e+01 4096  1.000 33.970  3.31 5.659e+01  14.2354 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61001.3047
OBS: 61001.3064 LSST-g DDF  1.94483e+05  2.3103e+01 6144  1.000 33.910  3.23 5.554e+01  14.2782 
OBS: 61001.3141 LSST-i DDF  1.03255e+05  1.1318e+01 4096  1.000 34.810  2.74 1.949e+02  14.9594 
OBS: 61001.3217 LSST-r DDF  1.81064e+05  2.0109e+01 4096  1.000 34.140  2.90 9.439e+01  14.3547 
OBS: 61002.3069 LSST-g DDF  1.86393e+05  2.2285e+01 4096  1.000 33.940  2.58 5.572e+01  14.3288 
OBS: 61002.3145 LSST-i DDF  9.84535e+04  1.0954e+01 4096  1.000 34.820  2.40 1.939e+02  15.0262 
OBS: 61002.3221 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 34.150  2.37 9.413e+01  14.3928 
OBS: 61003.3085 LSST-g DDF  0.00000e+00  1.0000e+08 1024  1.000 33.980  1.83 5.653e+01  14.3878 
OBS: 61003.3161 LSST-i DDF  9.11563e+04  1.0381e+01 4096  1.000 34.840  1.84 1.933e+02  15.0964 
OBS: 61004.2960 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 35.530  2.25 1.834e+02  14.4918 
OBS: 61004.3003 LSST-g DDF  0.00000e+00  1.0000e+08 1024  1.000 33.930  2.10 5.549e+01  14.4546 
OBS: 61004.3079 LSST-i DDF  8.62510e+04  1.0350e+01 4096  1.000 34.810  2.56 1.937e+02  15.1669 
OBS: 61005.3001 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 32.380  2.18 4.233e+01  14.5465 
OBS: 61005.3189 LSST-g DDF  1.54597e+05  2.5089e+01 4096  1.000 33.480  2.51 4.408e+01  14.5272 
OBS: 61006.2859 LSST-g DDF  1.44184e+05  3.1645e+01 4096  1.000 32.900  2.33 3.468e+01  14.5995 
OBS: 61006.2923 LSST-i DDF  7.76435e+04  9.8190e+00 4096  1.000 34.800  2.08 1.974e+02  15.2757 
OBS: 61006.3020 LSST-r DDF  1.43293e+05  1.2670e+01 4096  1.000 34.890  2.68 1.332e+02  14.6015 
OBS: 61007.2852 LSST-r DDF  1.37753e+05  1.2729e+01 4096  1.000 34.840  2.88 1.313e+02  14.6498 
OBS: 61007.2877 LSST-i DDF  7.42682e+04  8.3111e+00 4096  1.000 35.150  2.96 2.292e+02  15.3286 
OBS: 61007.2905 LSST-g DDF  1.33036e+05  1.3538e+01 4096  1.000 34.660  3.12 7.597e+01  14.6822 
OBS: 61008.2919 LSST-i DDF  6.99870e+04  1.2145e+01 4096  1.000 34.250  2.63 1.507e+02  15.3875 
OBS: 61008.2999 LSST-r DDF  1.32538e+05  1.2190e+01 4096  1.000 34.890  2.68 1.320e+02  14.6929 
OBS: 61009.2873 LSST-r DDF  0.00000e+00  1.0000e+08 1024  1.000 34.870  2.04 1.332e+02  14.7314 
OBS: 61009.2898 LSST-i DDF  6.82796e+04  7.7763e+00 4096  1.000 35.170  2.06 2.314e+02  15.4154 
OBS: 61009.2926 LSST-g DDF  1.13612e+05  1.2269e+01 4096  1.000 34.700  2.40 7.783e+01  14.8655 
OBS: 61010.2884 LSST-r DDF  1.23652e+05  1.0394e+01 4096  1.000 35.160  2.38 1.585e+02  14.7689 
OBS: 61010.2979 LSST-i DDF  6.86675e+04  7.2370e+00 4096  1.000 35.340  2.18 2.606e+02  15.4136 
OBS: 61010.3065 LSST-g DDF  1.04466e+05  1.6014e+01 4096  1.000 34.030  2.23 5.631e+01  14.9514 
OBS: 61011.2945 LSST-r DDF  1.19379e+05  1.3549e+01 4096  1.000 34.560  2.55 1.573e+02  14.8025 
