SURVEY:   LSST
SNID:             1742  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.414062  # deg (avg among obs)
DEC:      1.865427  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0173 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.081 0.064 0.044 0.033 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61471.160     # estimate for LC fit codes
MJD_TRIGGER:       61463.109  
MJD_DETECT_FIRST:  61462.082  
MJD_DETECT_LAST:   61510.062  

REDSHIFT_HELIO:   0.007940 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009106 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           349508    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.414062     # deg  
SIM_DEC:             1.865427      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0173   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.237     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61472.191    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.230    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -10.02  # days 
SIM_TRESTMAX:        37.54  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.260 14.321 14.916 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 102 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61462.0833 LSST-g DDF  9.83080e+04  1.5096e+01 4096  1.000 34.090  1.62 5.746e+01  15.0134 
OBS: 61462.0987 LSST-i DDF  7.06884e+04  8.5983e+00 4096  1.000 34.990  2.14 2.101e+02  15.3766 
OBS: 61462.1006 LSST-r DDF  8.80435e+04  9.6372e+00 4096  1.000 34.990  3.54 1.583e+02  15.1448 
OBS: 61463.1085 LSST-g DDF  1.17454e+05  1.6360e+01 6144  1.000 34.110  2.28 5.535e+01  14.8259 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61463.1094
OBS: 61463.1212 LSST-i DDF  8.44220e+04  9.5113e+00 4096  1.000 34.950  2.02 1.916e+02  15.1867 
OBS: 61463.1293 LSST-r DDF  1.03302e+05  9.9382e+00 4096  1.000 35.060  2.01 1.499e+02  14.9603 
OBS: 61464.1309 LSST-g DDF  1.36205e+05  1.7195e+01 4096  1.000 34.160  1.49 5.597e+01  14.6652 
OBS: 61464.1372 LSST-i DDF  9.54638e+04  9.7696e+00 4096  1.000 35.010  1.43 1.843e+02  15.0439 
OBS: 61464.1482 LSST-r DDF  1.18967e+05  1.0827e+01 4096  1.000 35.020  1.39 1.342e+02  14.8059 
OBS: 61465.1673 LSST-g DDF  1.52631e+05  1.8216e+01 4096  1.000 34.160  2.29 5.542e+01  14.5345 
OBS: 61465.1749 LSST-i DDF  1.05643e+05  1.0838e+01 4096  1.000 34.900  1.89 1.740e+02  14.9375 
OBS: 61465.1846 LSST-r DDF  1.34805e+05  1.1592e+01 4096  1.000 35.010  1.93 1.322e+02  14.6755 
OBS: 61466.1699 LSST-g DDF  1.70985e+05  1.9276e+01 4096  1.000 34.160  2.26 5.531e+01  14.4251 
OBS: 61466.1775 LSST-i DDF  1.13738e+05  1.1249e+01 4096  1.000 34.900  2.01 1.734e+02  14.8647 
OBS: 61466.1872 LSST-r DDF  1.48814e+05  1.2294e+01 4096  1.000 34.990  2.20 1.236e+02  14.5730 
OBS: 61467.1664 LSST-g DDF  1.81648e+05  1.9769e+01 4096  1.000 34.170  1.97 5.491e+01  14.3369 
OBS: 61467.1727 LSST-i DDF  1.16507e+05  1.1055e+01 4096  1.000 34.960  1.78 1.766e+02  14.8215 
OBS: 61467.1807 LSST-r DDF  1.60330e+05  1.2397e+01 4096  1.000 35.050  1.76 1.259e+02  14.4927 
OBS: 61468.1788 LSST-r DDF  1.68164e+05  5.8311e+01 4096  1.000 31.740  1.88 2.767e+01  14.4281 
OBS: 61469.1600 LSST-g DDF  1.96573e+05  2.0563e+01 4096  1.000 34.170  1.90 5.483e+01  14.2634 
OBS: 61469.1676 LSST-i DDF  1.19126e+05  1.1510e+01 4096  1.000 34.900  2.04 1.720e+02  14.8159 
OBS: 61469.1773 LSST-r DDF  1.76967e+05  1.3397e+01 4096  1.000 34.990  2.15 1.224e+02  14.3787 
OBS: 61470.1726 LSST-i DDF  1.15335e+05  3.5563e+01 4096  1.000 32.410  1.63 5.454e+01  14.8377 
OBS: 61470.1966 LSST-r DDF  1.82764e+05  4.3003e+01 4096  1.000 32.490  1.55 3.897e+01  14.3466 
OBS: 61471.1594 LSST-g DDF  1.99795e+05  2.0935e+01 4096  1.000 34.150  2.55 5.483e+01  14.2523 
OBS: 61471.1670 LSST-i DDF  1.11821e+05  1.1148e+01 4096  1.000 34.900  1.92 1.731e+02  14.8752 
OBS: 61471.1767 LSST-r DDF  1.86134e+05  1.3736e+01 4096  1.000 34.990  2.07 1.231e+02  14.3286 
OBS: 61473.1497 LSST-g DDF  1.95978e+05  2.0530e+01 4096  1.000 34.170  1.78 5.506e+01  14.2729 
OBS: 61473.1573 LSST-i DDF  1.04527e+05  1.0801e+01 4096  1.000 34.900  2.13 1.728e+02  14.9531 
