SURVEY:   LSST
SNID:             868  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       148.974609  # deg (avg among obs)
DEC:      3.134927  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0194 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.091 0.071 0.049 0.037 0.029 0.024  # MW mag-XT per band
PEAKMJD:  61049.316     # estimate for LC fit codes
MJD_TRIGGER:       61038.234  
MJD_DETECT_FIRST:  61038.195  
MJD_DETECT_LAST:   61087.137  

REDSHIFT_HELIO:   0.040551 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.041747 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           178821    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03970 
SIM_REDSHIFT_CMB:    0.04090  
SIM_REDSHIFT_HOST:       0.03970    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            36.2804   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              148.974609     # deg  
SIM_DEC:             3.134927      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0194   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.177     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61047.586    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.143    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.03  # days 
SIM_TRESTMAX:        38.04  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 17.393 17.472 17.943 18.035 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 88 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61038.1967 LSST-g DDF  4.57621e+03  4.0735e+00 4096  1.000 33.960  2.87 8.147e+01  18.3424 
OBS: 61038.2043 LSST-i DDF  3.75677e+03  3.0454e+00 4096  1.000 34.800  2.39 2.141e+02  18.5675 
OBS: 61038.2140 LSST-r DDF  4.48859e+03  2.6102e+00 4096  1.000 34.900  2.39 1.480e+02  18.3728 
OBS: 61038.2334 LSST-z DDF  3.49470e+03  3.1272e+00 6144  1.000 34.740  1.89 2.714e+02  18.6459 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61038.2344
OBS: 61040.1787 LSST-g DDF  6.67834e+03  5.3270e+00 4096  1.000 33.930  2.23 1.529e+02  17.9415 
OBS: 61040.1863 LSST-i DDF  5.10819e+03  3.2949e+00 4096  1.000 34.780  1.92 2.573e+02  18.2284 
OBS: 61040.1960 LSST-r DDF  6.12212e+03  3.0785e+00 4096  1.000 34.910  1.86 2.347e+02  18.0315 
OBS: 61040.2154 LSST-z DDF  4.45731e+03  3.7430e+00 4096  1.000 34.730  2.09 3.031e+02  18.3739 
OBS: 61042.2004 LSST-i DDF  6.27519e+03  4.1125e+00 4096  1.000 34.900  2.55 3.196e+02  18.0110 
OBS: 61042.2062 LSST-r DDF  7.71154e+03  3.9940e+00 4096  1.000 34.980  2.43 3.243e+02  17.7807 
OBS: 61042.2287 LSST-z DDF  5.36000e+03  3.6788e+00 4096  1.000 34.800  1.87 3.341e+02  18.1779 
OBS: 61049.3168 LSST-g DDF  1.06343e+04  4.8853e+00 4096  1.000 34.340  2.14 1.494e+02  17.4292 
OBS: 61049.3246 LSST-i DDF  6.39443e+03  2.9357e+00 4096  1.000 34.990  1.66 2.478e+02  17.9860 
OBS: 61049.3400 LSST-z DDF  5.77577e+03  1.6033e+01 4096  1.000 31.340  1.55 5.897e+01  18.0960 
OBS: 61050.1736 LSST-r DDF  1.00356e+04  2.5773e+00 4096  1.000 35.610  2.19 2.168e+02  17.4903 
OBS: 61050.1789 LSST-g DDF  1.03325e+04  5.3092e+00 4096  1.000 34.030  2.60 7.614e+01  17.4623 
OBS: 61050.1865 LSST-i DDF  6.25115e+03  3.1923e+00 4096  1.000 34.840  1.94 2.154e+02  18.0118 
OBS: 61050.1930 LSST-z DDF  5.55407e+03  2.6039e+00 4096  1.000 35.480  1.90 4.140e+02  18.1427 
OBS: 61053.2523 LSST-g DDF  8.75861e+03  4.3874e+00 4096  1.000 34.180  1.72 6.017e+01  17.6463 
OBS: 61053.2599 LSST-i DDF  5.35586e+03  2.6702e+00 4096  1.000 34.900  1.62 1.781e+02  18.1837 
OBS: 61053.2696 LSST-r DDF  9.13099e+03  3.0874e+00 4096  1.000 35.010  1.51 1.312e+02  17.5977 
OBS: 61053.2846 LSST-z DDF  4.84303e+03  2.8955e+00 4096  1.000 34.780  1.44 2.505e+02  18.2904 
OBS: 61054.2748 LSST-g DDF  8.15667e+03  4.3080e+00 4096  1.000 34.160  2.14 5.695e+01  17.7258 
OBS: 61054.2824 LSST-i DDF  4.99411e+03  2.7305e+00 4096  1.000 34.900  2.08 1.740e+02  18.2579 
OBS: 61054.2921 LSST-r DDF  8.69120e+03  3.0500e+00 4096  1.000 35.000  1.75 1.260e+02  17.6489 
OBS: 61054.3071 LSST-z DDF  4.59552e+03  2.9918e+00 4096  1.000 34.780  1.69 2.485e+02  18.3388 
OBS: 61056.1564 LSST-i DDF  4.42160e+03  2.6920e+00 4096  1.000 34.800  1.69 1.929e+02  18.3872 
OBS: 61056.1584 LSST-g DDF  6.91585e+03  4.2851e+00 4096  1.000 33.990  1.87 5.418e+01  17.8887 
OBS: 61056.1714 LSST-r DDF  7.81629e+03  2.9896e+00 4096  1.000 34.940  1.68 1.307e+02  17.7541 
