SURVEY:   LSST
SNID:             1122  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       52.910156  # deg (avg among obs)
DEC:      -28.037678  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0071 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.033 0.026 0.018 0.013 0.011 0.009  # MW mag-XT per band
PEAKMJD:  61758.191     # estimate for LC fit codes
MJD_TRIGGER:       61752.207  
MJD_DETECT_FIRST:  61746.211  
MJD_DETECT_LAST:   61804.055  

REDSHIFT_HELIO:   0.306207 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.305702 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           227027    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.30543 
SIM_REDSHIFT_CMB:    0.30492  
SIM_REDSHIFT_HOST:       0.30543    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.9899   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              52.910156     # deg  
SIM_DEC:             -28.037678      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0071   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.003     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61759.113    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.044    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.91  # days 
SIM_TRESTMAX:        34.44  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 -9.000 21.444 21.538 21.726 22.287  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61746.1851 LSST-Y DDF  3.79745e+01  2.4119e+01    0  1.000 30.270  1.99 4.373e+01  22.7694 
OBS: 61746.2109 LSST-z DDF  1.04331e+02  9.7882e+00 4096  1.000 31.340  1.90 4.913e+01  22.3758 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61752.2070
OBS: 61752.2078 LSST-i DDF  1.93097e+02  6.4625e+00 6144  1.000 32.470  1.65 1.049e+02  21.7568 
OBS: 61754.1208 LSST-i DDF  2.17696e+02  1.2921e+00 4096  1.000 34.980  1.37 2.432e+02  21.6509 
OBS: 61754.1430 LSST-r DDF  2.45535e+02  1.3219e+00 4096  1.000 35.130  1.50 2.622e+02  21.5276 
OBS: 61754.1600 LSST-Y DDF  1.38165e+02  3.9897e+00 4096  1.000 33.420  1.31 1.967e+02  22.1728 
OBS: 61754.1915 LSST-z DDF  2.01493e+02  1.7742e+00 4096  1.000 34.800  1.40 2.857e+02  21.7377 
OBS: 61755.1885 LSST-z DDF  2.18134e+02  7.5341e+00 4096  1.000 31.350  1.26 5.515e+01  21.7190 
OBS: 61755.2128 LSST-Y DDF  1.44619e+02  1.8639e+01 4096  1.000 30.230  1.35 4.732e+01  22.1827 
OBS: 61756.1897 LSST-r DDF  2.57765e+02  5.0405e+00 4096  1.000 31.830  1.56 4.431e+01  21.4760 
OBS: 61756.2138 LSST-i DDF  2.41614e+02  5.9286e+00 4096  1.000 31.680  1.52 4.777e+01  21.5744 
OBS: 61758.1834 LSST-i DDF  2.40380e+02  1.2181e+00 4096  1.000 34.920  1.63 1.779e+02  21.5423 
OBS: 61758.1931 LSST-r DDF  2.63540e+02  9.4328e-01 4096  1.000 35.040  1.59 1.468e+02  21.4482 
OBS: 61758.2023 LSST-Y DDF  1.24974e+02  4.2661e+00 4096  1.000 33.380  1.38 1.931e+02  22.2565 
OBS: 61758.2125 LSST-z DDF  2.09140e+02  1.6776e+00 4096  1.000 34.780  1.44 2.559e+02  21.7191 
OBS: 61764.1631 LSST-r DDF  2.43722e+02  3.8155e+00 4096  1.000 31.730  1.75 2.458e+01  21.5402 
OBS: 61764.1871 LSST-i DDF  2.17480e+02  5.1824e+00 4096  1.000 31.650  1.64 3.696e+01  21.6254 
OBS: 61766.1120 LSST-i DDF  2.13047e+02  1.0557e+00 4096  1.000 34.920  1.58 1.560e+02  21.6849 
OBS: 61766.1217 LSST-r DDF  2.24735e+02  8.1474e-01 4096  1.000 35.000  1.74 1.074e+02  21.6180 
OBS: 61766.1366 LSST-z DDF  1.71510e+02  1.6422e+00 4096  1.000 34.790  1.59 2.307e+02  21.9147 
OBS: 61768.1859 LSST-r DDF  2.03527e+02  3.5230e+00 4096  1.000 31.720  1.56 2.530e+01  21.7231 
OBS: 61774.0855 LSST-i DDF  1.53877e+02  1.1838e+00 4096  1.000 34.930  1.73 1.700e+02  22.0287 
OBS: 61774.0952 LSST-r DDF  1.46831e+02  1.0615e+00 4096  1.000 35.040  2.17 1.339e+02  22.0986 
OBS: 61774.1045 LSST-Y DDF  6.85402e+01  4.1436e+00 4096  1.000 33.420  1.46 1.852e+02  22.9765 
OBS: 61774.1146 LSST-z DDF  1.17319e+02  1.4335e+00 4096  1.000 34.800  1.37 2.369e+02  22.3194 
OBS: 61775.1381 LSST-r DDF  1.38211e+02  3.4187e+00 4096  1.000 31.790  1.38 3.194e+01  22.1656 
OBS: 61775.1629 LSST-i DDF  1.41397e+02  5.0503e+00 4096  1.000 31.660  1.54 4.003e+01  22.0762 
OBS: 61776.1268 LSST-z DDF  1.12349e+02  7.4699e+00 4096  1.000 31.350  1.37 5.176e+01  22.4044 
OBS: 61777.1304 LSST-Y DDF  6.90780e+01  1.3715e+01    0  1.000 31.010  1.50 6.491e+01  23.0077 
OBS: 61779.1233 LSST-i DDF  1.16933e+02  6.9001e+00 4096  1.000 31.700  1.63 5.567e+01  22.2376 
OBS: 61779.1472 LSST-z DDF  1.05233e+02  8.8873e+00 4096  1.000 31.350  1.43 5.961e+01  22.4663 
OBS: 61781.1310 LSST-Y DDF  4.85356e+01  1.4599e+01    0  1.000 31.000  1.50 6.865e+01  22.9346 
OBS: 61782.1219 LSST-Y DDF  5.41440e+01  1.9308e+01    0  1.000 31.010  1.94 7.097e+01  22.9038 
OBS: 61782.1457 LSST-z DDF  9.69266e+01  1.0795e+01 4096  1.000 32.100  2.15 9.740e+01  22.4626 
OBS: 61783.0701 LSST-i DDF  1.13007e+02  1.8958e+00 4096  1.000 34.960  2.11 2.403e+02  22.3549 
OBS: 61783.0798 LSST-r DDF  8.01625e+01  1.8489e+00 4096  1.000 35.120  2.18 2.644e+02  22.7060 
OBS: 61783.0912 LSST-Y DDF  7.09636e+01  5.6135e+00 4096  1.000 33.470  1.91 2.016e+02  22.8731 
OBS: 61783.0994 LSST-z DDF  1.05050e+02  2.5552e+00 4096  1.000 34.840  2.15 2.866e+02  22.4585 
OBS: 61784.1635 LSST-r DDF  6.21855e+01  6.9033e+00 4096  1.000 31.800  1.79 5.638e+01  22.7922 
OBS: 61784.1872 LSST-i DDF  1.10960e+02  8.0699e+00 4096  1.000 31.630  1.76 5.693e+01  22.3863 
OBS: 61786.1253 LSST-z DDF  1.10862e+02  8.6054e+00 4096  1.000 31.340  1.57 5.195e+01  22.4447 
OBS: 61788.1131 LSST-i DDF  9.92945e+01  1.0671e+00 4096  1.000 34.900  1.60 1.632e+02  22.4995 
OBS: 61788.1228 LSST-r DDF  5.55120e+01  7.5349e-01 4096  1.000 34.970  1.75 1.121e+02  23.1555 
OBS: 61788.1320 LSST-Y DDF  7.95835e+01  5.1415e+00 4096  1.000 33.360  1.65 1.928e+02  22.7274 
OBS: 61788.1422 LSST-z DDF  1.03854e+02  2.1031e+00 4096  1.000 34.770  1.89 2.503e+02  22.4511 
OBS: 61789.1180 LSST-r DDF  4.46773e+01  2.4646e+00 4096  1.000 32.470  1.83 3.553e+01  23.2516 
OBS: 61791.1083 LSST-r DDF  4.46739e+01  2.8290e+00 4096  1.000 31.730  1.48 2.498e+01  23.4022 
OBS: 61793.1045 LSST-r DDF  3.89770e+01  3.0596e+00 4096  1.000 31.730  1.62 2.508e+01  23.5422 
OBS: 61794.1181 LSST-r DDF  3.61543e+01  3.1071e+00 4096  1.000 31.720  1.60 2.566e+01  23.6076 
OBS: 61794.1418 LSST-i DDF  7.38239e+01  7.6440e+00 4096  1.000 31.610  2.40 3.901e+01  22.7729 
OBS: 61795.0646 LSST-i DDF  7.63839e+01  9.7557e-01 4096  1.000 34.920  1.52 1.608e+02  22.8203 
OBS: 61795.0784 LSST-r DDF  3.43871e+01  7.0787e-01 4096  1.000 35.040  1.75 1.144e+02  23.6685 
OBS: 61795.0893 LSST-z DDF  9.06976e+01  1.5934e+00 4096  1.000 34.790  1.51 2.399e+02  22.5912 
OBS: 61796.0452 LSST-i DDF  6.87342e+01  3.4532e+00 4096  1.000 31.680  1.16 3.696e+01  22.8707 
OBS: 61798.1464 LSST-r DDF  3.26420e+01  3.7447e+00 4096  1.000 31.660  1.80 2.638e+01  23.8311 
