SURVEY:   LSST
SNID:             8113  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.765625  # deg (avg among obs)
DEC:      3.359099  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0197 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.092 0.072 0.050 0.037 0.029 0.024  # MW mag-XT per band
PEAKMJD:  61007.289     # estimate for LC fit codes
MJD_TRIGGER:       61001.305  
MJD_DETECT_FIRST:  61000.320  
MJD_DETECT_LAST:   61042.207  

REDSHIFT_HELIO:   0.007492 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.008654 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           667818    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00884 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00884    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.765625     # deg  
SIM_DEC:             3.359099      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0197   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.037     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61008.863    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.178    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -8.47  # days 
SIM_TRESTMAX:        33.05  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.206 14.353 14.894 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 69 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61000.3200 LSST-g DDF  1.18454e+05  1.7573e+01 4096  1.000 33.970  3.31 5.659e+01  14.8037 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61001.3047
OBS: 61001.3064 LSST-g DDF  1.38596e+05  1.9525e+01 6144  1.000 33.910  3.23 5.554e+01  14.6426 
OBS: 61001.3141 LSST-i DDF  1.27272e+05  1.2518e+01 4096  1.000 34.810  2.74 1.949e+02  14.7337 
OBS: 61001.3217 LSST-r DDF  1.47469e+05  1.8172e+01 4096  1.000 34.140  2.90 9.439e+01  14.5858 
OBS: 61002.3069 LSST-g DDF  1.59511e+05  2.0622e+01 4096  1.000 33.940  2.58 5.572e+01  14.5025 
OBS: 61002.3145 LSST-i DDF  1.34890e+05  1.2767e+01 4096  1.000 34.820  2.40 1.939e+02  14.6815 
OBS: 61002.3221 LSST-r DDF  1.57865e+05  1.8665e+01 4096  1.000 34.150  2.37 9.413e+01  14.5001 
OBS: 61003.3085 LSST-g DDF  1.78414e+05  2.1386e+01 4096  1.000 33.980  1.83 5.653e+01  14.3829 
OBS: 61003.3161 LSST-i DDF  1.37495e+05  1.2707e+01 4096  1.000 34.840  1.84 1.933e+02  14.6581 
OBS: 61004.2960 LSST-r DDF  1.74333e+05  1.0383e+01 4096  1.000 35.530  2.25 1.834e+02  14.3903 
OBS: 61004.3003 LSST-g DDF  1.92285e+05  2.2724e+01 4096  1.000 33.930  2.10 5.549e+01  14.2948 
OBS: 61004.3079 LSST-i DDF  1.36375e+05  1.2917e+01 4096  1.000 34.810  2.56 1.937e+02  14.6633 
OBS: 61005.3001 LSST-r DDF  1.78991e+05  4.4860e+01 4096  1.000 32.380  2.18 4.233e+01  14.3582 
OBS: 61005.3189 LSST-g DDF  2.01471e+05  2.8627e+01 4096  1.000 33.480  2.51 4.408e+01  14.2412 
OBS: 61006.2859 LSST-g DDF  2.05770e+05  3.7782e+01 4096  1.000 32.900  2.33 3.468e+01  14.2143 
OBS: 61006.2923 LSST-i DDF  1.27144e+05  1.2487e+01 4096  1.000 34.800  2.08 1.974e+02  14.7362 
OBS: 61006.3020 LSST-r DDF  1.84054e+05  1.4340e+01 4096  1.000 34.890  2.68 1.332e+02  14.3413 
OBS: 61007.2852 LSST-r DDF  1.83159e+05  1.4651e+01 4096  1.000 34.840  2.88 1.313e+02  14.3384 
OBS: 61007.2877 LSST-i DDF  1.20556e+05  1.0459e+01 4096  1.000 35.150  2.96 2.292e+02  14.7930 
OBS: 61007.2905 LSST-g DDF  2.09115e+05  1.6951e+01 4096  1.000 34.660  3.12 7.597e+01  14.2010 
OBS: 61008.2919 LSST-i DDF  1.14758e+05  1.5389e+01 4096  1.000 34.250  2.63 1.507e+02  14.8581 
OBS: 61008.2999 LSST-r DDF  1.82701e+05  1.4287e+01 4096  1.000 34.890  2.68 1.320e+02  14.3461 
OBS: 61009.2873 LSST-r DDF  1.79949e+05  1.4283e+01 4096  1.000 34.870  2.04 1.332e+02  14.3625 
OBS: 61009.2898 LSST-i DDF  1.07576e+05  9.6991e+00 4096  1.000 35.170  2.06 2.314e+02  14.9210 
OBS: 61009.2926 LSST-g DDF  2.07082e+05  1.6545e+01 4096  1.000 34.700  2.40 7.783e+01  14.2147 
OBS: 61010.2884 LSST-r DDF  1.76222e+05  1.2386e+01 4096  1.000 35.160  2.38 1.585e+02  14.3867 
OBS: 61010.2979 LSST-i DDF  1.02068e+05  8.7632e+00 4096  1.000 35.340  2.18 2.606e+02  14.9806 
OBS: 61010.3065 LSST-g DDF  2.01264e+05  2.2203e+01 4096  1.000 34.030  2.23 5.631e+01  14.2406 
OBS: 61011.2945 LSST-r DDF  1.71192e+05  1.6164e+01 4096  1.000 34.560  2.55 1.573e+02  14.4181 
