FILENAME,MJD,BAND,FIELD,FLUXCAL,FLUXCALERR,PHOTFLAG,GAIN,ZPT,PSF,SKY_SIG,SIM_MAGOBS
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61794.0825,LSST-r,DDF,147745.0,5.4869,4096,1.0,36.73,1.6,243.8,14.5788
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61795.0967,LSST-g,DDF,186588.0,2.8815,6144,1.0,38.38,1.59,332.6,14.3153
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61795.1033,LSST-i,DDF,115119.0,1.5844,4096,1.0,39.16,1.38,1156.0,14.8429
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61795.113,LSST-r,DDF,163372.0,1.8241,4096,1.0,39.23,1.49,786.2,14.4724
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61800.1048,LSST-r,DDF,204407.0,6.5153,4096,1.0,36.71,2.02,246.5,14.2208
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61800.1287,LSST-g,DDF,232146.0,7.3643,4096,1.0,36.58,2.03,148.5,14.0964
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61802.0967,LSST-g,DDF,223239.0,3.1813,4096,1.0,38.36,1.89,334.2,14.1218
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61802.1033,LSST-i,DDF,120822.0,1.6409,4096,1.0,39.14,1.73,1166.0,14.8054
MC_BAYSN_PLUSSCATTER_SN000001.DAT,61802.113,LSST-r,DDF,204698.0,2.0718,4096,1.0,39.2,2.13,790.1,14.2166
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61813.1014,LSST-g,DDF,230816.0,2.9365,4096,1.0,38.58,1.63,1377.0,14.0924
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61813.1101,LSST-i,DDF,134497.0,1.7191,4096,1.0,39.17,1.9,1784.0,14.6758
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61813.1198,LSST-r,DDF,219754.0,2.0735,4096,1.0,39.29,2.08,1911.0,14.147
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61814.0306,LSST-i,DDF,131981.0,5.3174,6144,1.0,36.68,1.43,401.3,14.6918
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61817.0729,LSST-g,DDF,231017.0,3.2513,4096,1.0,38.35,1.97,335.2,14.0856
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61817.0816,LSST-i,DDF,125037.0,1.6703,4096,1.0,39.14,1.85,1179.0,14.757
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61817.0913,LSST-r,DDF,236301.0,2.2249,4096,1.0,39.2,1.93,800.0,14.0669
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61819.1058,LSST-i,DDF,123710.0,5.3058,4096,1.0,36.62,1.88,382.2,14.7655
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61822.187,LSST-g,DDF,212541.0,8.4815,4096,1.0,36.18,2.92,142.8,14.1817
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61823.0243,LSST-i,DDF,112141.0,4.9309,4096,1.0,36.67,1.62,387.1,14.8677
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61824.0375,LSST-g,DDF,197378.0,2.9636,4096,1.0,38.38,1.51,341.4,14.2588
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61824.0561,LSST-i,DDF,109002.0,1.4873,4096,1.0,39.24,1.48,1239.0,14.9063
MC_BAYSN_PLUSSCATTER_SN000002.DAT,61824.0627,LSST-r,DDF,205640.0,1.9632,4096,1.0,39.32,1.55,839.3,14.2069
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61009.1065,LSST-i,DDF,101421.0,3.3204,4096,1.0,37.43,1.93,624.1,14.9872
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61015.0995,LSST-g,DDF,166858.0,2.4314,4096,1.0,38.64,1.74,1249.0,14.4488
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61015.1082,LSST-i,DDF,86283.5,1.3466,4096,1.0,39.21,1.29,1742.0,15.1602
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61015.1179,LSST-r,DDF,159485.0,1.6971,4096,1.0,39.37,1.52,1825.0,14.4925
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61016.1974,LSST-r,DDF,149762.0,3.7465,4096,1.0,37.6,2.65,717.4,14.5533
MC_BAYSN_PLUSSCATTER_SN000003.DAT,61016.2213,LSST-i,DDF,79175.9,2.9869,4096,1.0,37.44,2.79,712.2,15.2545
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61873.2105,LSST-g,DDF,159486.0,2.089,4096,1.0,38.95,2.48,1778.0,14.4943
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61873.2181,LSST-i,DDF,117264.0,1.2634,4096,1.0,39.73,2.39,2800.0,14.8324
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61874.02,LSST-r,DDF,153491.0,0.8758,6144,1.0,40.76,1.94,2031.0,14.5346
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61874.0252,LSST-g,DDF,178516.0,1.9686,4096,1.0,39.16,1.77,545.7,14.3694
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61874.0329,LSST-i,DDF,126908.0,1.1807,4096,1.0,39.91,1.75,1836.0,14.7355
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61875.0565,LSST-g,DDF,202672.0,2.0875,4096,1.0,39.17,1.59,547.0,14.2326
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61875.0641,LSST-i,DDF,138157.0,1.2288,4096,1.0,39.91,1.42,1730.0,14.6532
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61875.0739,LSST-r,DDF,173279.0,1.3005,4096,1.0,40.03,1.51,1447.0,14.4022
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61877.0408,LSST-g,DDF,240414.0,2.3089,4096,1.0,39.14,3.56,541.6,14.0443
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61877.0484,LSST-i,DDF,146731.0,1.2904,4096,1.0,39.89,3.01,1720.0,14.5887
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61877.0581,LSST-r,DDF,204106.0,1.4471,4096,1.0,39.98,2.79,1220.0,14.2223
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61879.0405,LSST-g,DDF,265341.0,2.3884,4096,1.0,39.17,1.74,549.6,13.9395
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61879.0482,LSST-i,DDF,140831.0,1.2418,4096,1.0,39.91,1.65,1731.0,14.6226
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61879.0579,LSST-r,DDF,225989.0,1.5121,4096,1.0,39.99,1.72,1230.0,14.1161
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61883.0921,LSST-g,DDF,260990.0,2.4383,4096,1.0,39.11,3.33,545.1,13.9597
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61883.0997,LSST-i,DDF,118537.0,1.1866,4096,1.0,39.87,3.78,1775.0,14.8159
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61883.1094,LSST-r,DDF,240289.0,1.5949,4096,1.0,39.95,3.59,1249.0,14.0531
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61884.0275,LSST-g,DDF,258471.0,2.3685,4096,1.0,39.16,1.98,551.2,13.9749
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61884.0352,LSST-i,DDF,115251.0,1.1311,4096,1.0,39.9,1.86,1732.0,14.8471
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61884.0449,LSST-r,DDF,237863.0,1.5521,4096,1.0,39.99,2.07,1232.0,14.0591
MC_BAYSN_PLUSSCATTER_SN000004.DAT,61885.0079,LSST-r,DDF,236019.0,6.8701,4096,1.0,36.75,1.69,272.6,14.0696
MC_BAYSN_PLUSSCATTER_SN000005.DAT,61106.0262,LSST-g,DDF,165634.0,1.9783,6144,1.0,39.07,2.58,530.8,14.455
MC_BAYSN_PLUSSCATTER_SN000005.DAT,61106.0338,LSST-i,DDF,62957.0,0.86871,4096,1.0,39.87,2.66,1996.0,15.4943
MC_BAYSN_PLUSSCATTER_SN000005.DAT,61106.0435,LSST-r,DDF,140726.0,1.2157,4096,1.0,39.97,2.63,1844.0,14.6223
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61752.2084,LSST-i,DDF,127032.0,5.2076,4096,1.0,36.71,1.67,739.6,14.74
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61754.0755,LSST-g,DDF,256159.0,2.1049,4096,1.0,39.41,1.76,1311.0,13.9801
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61754.1208,LSST-i,DDF,120477.0,1.1143,4096,1.0,39.98,1.37,2432.0,14.7951
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61754.143,LSST-r,DDF,242239.0,1.4712,4096,1.0,40.13,1.5,2622.0,14.0376
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61756.1897,LSST-r,DDF,224554.0,6.4675,4096,1.0,36.83,1.56,443.1,14.111
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61756.2138,LSST-i,DDF,108683.0,4.8404,4096,1.0,36.68,1.52,477.7,14.9041
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61758.1758,LSST-g,DDF,209515.0,2.0179,4096,1.0,39.28,1.54,707.8,14.1986
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61758.1834,LSST-i,DDF,97662.2,1.0313,4096,1.0,39.92,1.63,1779.0,15.0182
MC_BAYSN_PLUSSCATTER_SN000006.DAT,61758.1931,LSST-r,DDF,204652.0,1.4067,4096,1.0,40.04,1.59,1468.0,14.2172
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61699.1395,LSST-g,DDF,150031.0,1.7709,4096,1.0,39.2,1.13,480.5,14.556
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61699.1471,LSST-i,DDF,105277.0,1.0631,4096,1.0,39.93,1.43,1578.0,14.9404
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61699.1569,LSST-r,DDF,145703.0,1.2085,4096,1.0,40.0,1.52,1088.0,14.5885
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61705.1812,LSST-r,DDF,179174.0,6.0127,6144,1.0,36.74,1.54,244.4,14.3615
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61708.1152,LSST-g,DDF,166142.0,1.908,4096,1.0,39.15,2.08,470.3,14.4467
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61708.1229,LSST-i,DDF,94291.1,1.0129,4096,1.0,39.92,1.75,1568.0,15.0639
MC_BAYSN_PLUSSCATTER_SN000007.DAT,61708.1326,LSST-r,DDF,174613.0,1.323,4096,1.0,40.0,1.69,1081.0,14.3922
