FILENAME,MJD,BAND,FIELD,FLUXCAL,FLUXCALERR,PHOTFLAG,GAIN,ZPT,PSF,SKY_SIG,SIM_MAGOBS
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60971.3274,LSST-r,DDF,162714.0,56.76,6144,1.0,31.76,1.27,24.85,14.4737
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60971.3386,LSST-i,DDF,116309.0,50.1,4096,1.0,31.67,1.25,36.3,14.8331
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60972.3473,LSST-g,DDF,207270.0,68.331,4096,1.0,31.62,2.25,15.33,14.2051
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60973.3346,LSST-i,DDF,125160.0,52.58,4096,1.0,31.65,1.83,36.25,14.7609
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60975.2898,LSST-g,DDF,230653.0,22.266,4096,1.0,34.17,1.68,48.13,14.0861
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60975.2974,LSST-i,DDF,123545.0,11.577,4096,1.0,34.92,1.68,158.6,14.7701
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60975.3071,LSST-r,DDF,204372.0,14.31,4096,1.0,35.0,1.61,110.2,14.2235
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60977.3013,LSST-g,DDF,233473.0,71.175,4096,1.0,31.66,1.89,15.32,14.0778
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001373.DAT,60977.3254,LSST-r,DDF,208513.0,65.186,4096,1.0,31.73,1.88,25.09,14.1955
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61668.3651,LSST-g,DDF,266301.0,21.278,4096,1.0,34.43,1.69,158.3,13.9315
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61668.3706,LSST-i,DDF,145636.0,17.374,4096,1.0,34.22,1.51,161.7,14.5828
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61669.3951,LSST-i,DDF,146351.0,31.801,6144,1.0,32.91,1.33,88.08,14.5831
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61672.4004,LSST-r,DDF,252650.0,67.924,4096,1.0,31.85,1.4,44.54,13.9969
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61673.3873,LSST-i,DDF,130542.0,53.313,4096,1.0,31.67,2.16,37.7,14.7101
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61675.3867,LSST-r,DDF,252807.0,70.413,4096,1.0,31.77,1.34,26.14,13.9875
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61676.2677,LSST-r,DDF,250804.0,70.772,4096,1.0,31.75,1.23,24.47,13.9937
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000051.DAT,61676.377,LSST-i,DDF,123236.0,36.548,4096,1.0,32.42,1.58,50.21,14.7729
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000737.DAT,60901.3871,LSST-i,DDF,90238.7,44.468,4096,1.0,31.69,2.5,46.22,15.1131
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000737.DAT,60903.302,LSST-r,DDF,144615.0,37.087,6144,1.0,32.56,1.77,44.64,14.602
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000737.DAT,60903.3264,LSST-i,DDF,80018.1,29.457,4096,1.0,32.43,1.81,55.13,15.2403
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000045.DAT,61042.1527,LSST-i,DDF,126970.0,52.004,4096,1.0,31.71,1.92,61.85,14.7352
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61385.2706,LSST-g,DDF,159999.0,14.5,4096,1.0,34.71,3.19,76.34,14.4888
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61385.2782,LSST-i,DDF,86866.1,7.294,4096,1.0,35.58,2.73,266.6,15.1542
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61385.2879,LSST-r,DDF,156908.0,9.2551,4096,1.0,35.67,2.88,181.8,14.515
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61386.2769,LSST-g,DDF,150673.0,19.412,6144,1.0,34.01,2.8,54.71,14.556
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61386.2891,LSST-i,DDF,80262.2,9.3081,4096,1.0,34.96,2.57,194.1,15.233
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000904.DAT,61386.2942,LSST-r,DDF,148177.0,12.57,4096,1.0,34.94,2.48,127.9,14.5713
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61855.1085,LSST-g,DDF,215630.0,21.746,6144,1.0,34.15,2.56,53.99,14.1677
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61855.1161,LSST-i,DDF,122665.0,11.694,4096,1.0,34.9,2.24,172.0,14.7811
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61855.1279,LSST-r,DDF,187767.0,13.483,4096,1.0,35.04,2.1,124.9,14.3174
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61856.0964,LSST-r,DDF,195730.0,63.225,4096,1.0,31.73,2.26,27.07,14.2733
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61860.0953,LSST-g,DDF,221676.0,21.936,4096,1.0,34.16,1.94,54.06,14.1422
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61860.103,LSST-i,DDF,110461.0,11.065,4096,1.0,34.9,1.72,172.1,14.8955
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61860.1127,LSST-r,DDF,200322.0,14.245,4096,1.0,34.99,1.97,121.6,14.2429
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61862.095,LSST-g,DDF,205232.0,21.108,4096,1.0,34.16,1.93,54.97,14.2218
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61862.1026,LSST-i,DDF,101034.0,10.592,4096,1.0,34.9,1.77,172.2,14.9848
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000938.DAT,61862.1123,LSST-r,DDF,191430.0,13.992,4096,1.0,34.98,2.01,121.6,14.3022
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60992.0453,LSST-i,DDF,141599.0,57.27,6144,1.0,31.6,1.86,39.73,14.6218
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60993.0683,LSST-g,DDF,285795.0,82.523,4096,1.0,31.56,3.23,15.24,13.8601
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60994.2501,LSST-r,DDF,239790.0,69.583,4096,1.0,31.74,2.06,24.64,14.0456
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60996.0447,LSST-i,DDF,142204.0,40.269,4096,1.0,32.37,1.96,55.15,14.6199
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60996.1663,LSST-r,DDF,254753.0,36.097,4096,1.0,33.23,1.71,50.46,13.9803
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60998.2261,LSST-g,DDF,304653.0,25.833,4096,1.0,34.15,2.48,47.83,13.7913
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60998.2337,LSST-i,DDF,132902.0,12.102,4096,1.0,34.91,2.36,158.5,14.6867
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,60998.2434,LSST-r,DDF,259939.0,16.307,4096,1.0,34.98,2.72,109.8,13.9582
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN001398.DAT,61003.2477,LSST-i,DDF,114254.0,50.297,4096,1.0,31.65,1.96,36.14,14.8517
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61371.2195,LSST-r,DDF,176177.0,56.914,4096,1.0,31.85,1.83,48.89,14.3795
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61371.2437,LSST-i,DDF,115441.0,49.736,4096,1.0,31.69,1.7,49.42,14.8392
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61372.1278,LSST-g,DDF,207308.0,28.746,4096,1.0,33.5,1.62,44.8,14.2118
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61372.1508,LSST-i,DDF,114690.0,14.99,4096,1.0,34.28,1.54,137.2,14.8519
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61372.1574,LSST-r,DDF,183062.0,17.792,4096,1.0,34.41,1.65,114.9,14.3493
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61375.2379,LSST-r,DDF,180551.0,42.171,4096,1.0,32.52,1.69,40.98,14.3605
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61375.2618,LSST-g,DDF,197786.0,43.939,4096,1.0,32.53,2.04,36.64,14.2599
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61379.1589,LSST-g,DDF,158649.0,26.578,4096,1.0,33.38,1.97,32.15,14.5077
MYC21_073025_BAYESN_NOSCATTER_DELR_SAT_SN000086.DAT,61379.1655,LSST-i,DDF,79929.7,13.262,4096,1.0,34.16,1.9,110.8,15.2362
